name,organisation,type,start_date,end_date,description
Fuksispektaakkeli,inkubio,group,2021-01-15,2021-03-06,"Fuksien perinteinen esitys osana Apoptoosin ohjelmaa. Neljän hengen tiimin voimin työstetty."
ISO,inkubio,functionary,2021-04-15,2022-05-01,
Opinto-ISO,inkubio,functionary,2022-05-13,2023-05-01,"ISO, jonka tarkoituksena on keskittää fuksien opintoihin liittyvät huolet, murheet ja kysymykset."
N-ISO,inkubio,functionary,2024-05-09,2027-05-01,"N:nen vuoden opiskelija ja ISO, joka kertoo fukseille miten asiat oikeasti ovat."
Rekombionaatiotoimari,inkubio,functionary,2022-01-01,2022-12-31,"Otaniemi Rekon järkkäystä 2022, päävastuuna grafiikat."
Lukkari,inkubio,functionary,2022-01-01,2024-12-31,
Lukkari,inkubio,functionary,2026-01-01,2026-12-31,
KV-toimari,inkubio,functionary,2022-01-01,2022-12-31,"Ensimmäistä kertaa killassa testattiin KV-toimareita. Pääpointtina oli esim. toimia kääntäjänä kun tekoäly ei vielä ollut sitä helpoittamassa."
Fuksikapteeni,inkubio,functionary,2023-01-01,2024-04-30,"Fuksit'23 <3"
Häirintäyhdyshenkilö,inkubio,functionary,2023-01-01,2024-12-31,
Päätoimittaja,inkubio,functionary,2024-01-01,2024-12-31,"Killan lehden S'napsin toinen päätoimitttajista."
Puheenjohtaja,inkubio,functionary,2025-01-01,2025-12-31,"Inkuhali'25 <3"
Akateeminen komitea (ELEC),inkubio,group,2025-01-01,2025-12-31,
Kandidaattikoulutusneuvosto,inkubio,group,2025-01-01,2025-12-31,"Varajäsen"
LifeTech Programme committee,inkubio,group,2025-01-01,2025-12-31,
LifeTech Programme committee,inkubio,group,2026-01-01,2026-12-31,"Varajäsen"
Bioinformaatioteknologian kandidaattiohjelman koulutusneuvosto,inkubio,group,2026-01-01,2026-12-31,"BioIT:n ensimmäinen oma koulutusneuvosto uudistettavan kanditutkinnon myötä."
Apoptoosi XXI -toimari,inkubio,functionary,2024-06-01,2025-03-07,
Spagukastike,inkubio,functionary,2025-01-01,2026-12-31,"Spagu = Koodi, eli killan koodeihin koskeva toimikunta jossa hääräilin erityisesti KiltisBot:in kanssa. Ikuisuusprojektina killan nettisivut."
Killan edustaja TK:ssa,teekkarius,functionary,2025-01-01,2026-12-31,"TK = Teekkarikokous"
Laulukirjatoimikunnan PJ,inkubio,functionary,2026-01-01,2027-03-01,"VIRPIn neljännestä numerosta vastuussa oleva toimikunta, jonka toisena puheenjohtaja olin."
Arkistonhoitaja,inkubio,functionary,2026-01-01,2026-12-31,"Kenties se arkisto viimein luetteloidaan..."
Mentori,inkubio,functionary,2026-01-01,2027-12-31,"Mentorina hallituslaiselle jos toiselle. Kahden vuoden pesti."
HV-maisteri,inkubio,functionary,2026-01-01,2026-12-31,"Heitettäköön Vi****n -maisteri. Tarkastaa että kilta ei hävitä mitään 'tärkeää'."
A.N.K.K.U.R.I.,inkubio,functionary,2026-01-01,2026-12-31,"Akateemisesti N:mmät Kiusaavat Kippareita Usein Rillutellen Intensiivisesti."
JTMK,ayy,group,2022-01-01,2022-12-31,"Päävastuina läpi vuoden graafinen puoli."
Museotoimikunta,ayy,group,2025-01-01,2025-12-31,"Opas"
Museojaosto,ayy,group,2026-01-01,2026-12-31,"Fuksikierrokset"
Tuutori,ho,functionary,2025-03-04,2025-12-06,
Toimittaja-taittaja,ho,functionary,2025-01-01,2025-12-31,"Osakunnan lehden, Hälläpyörän, toimittaja sekä taittaja."
Päätoimittaja,ho,functionary,2026-01-01,2026-12-31,"Hälläpyörän puolikas päätoimittaja."
Kesäisäntä,ho,functionary,2026-08-01,2026-08-31,
Hallitus,mafia,group,2022-08-01,2023-07-31,
Hallitus,mafia,group,2024-08-01,2025-07-31,"VPJ"
Puheenjohtaja,iw,functionary,2025-06-23,2026-06-30,"MAYDAY! katso daymay.fi"
Apuohjaaja,tspeksi,functionary,2022-10-01,2023-05-01,"Ohjaajan oikea käsi ja vastuussa produktion 'taiteellisesta' puolesta näytöskaudella"
Sanoittaja,tspeksi,functionary,2023-10-01,2024-05-01,
Sanoittaja,tspeksi,functionary,2024-10-01,2025-05-01,
Jotain pientä,tspeksi,group,2025-10-01,2026-05-01,"Wappulehti.txt.2026&25&24 tuli tekaistua kun oli hieman backlogia, mutta ei juuri muuta."
Kääntäjä,fspeksi,functionary,2023-06-01,2023-10-31,
Graafikko,fspeksi,functionary,2025-06-01,2025-10-31,
Kultainen ansiomerkki,inkubio,decoration,2026-03-07,,
superISO,inkubio,decoration,2022-05-20,,
Toimaripalkinto,inkubio,decoration,2022-05-23,,"Kansainvälisyystoimukunta"
Toimaripalkinto,inkubio,decoration,2025-05-24,,"Spagutoimikunta"
Toimaripalkinto,inkubio,decoration,2024-05-24,,"Häirintäyhdyshenkilö"
